Date,High,Low,Open,Close,Volume,Adj Close
2000-09-18,1489.75,1462.25,1485.25,1467.5,104794.0,1467.5
2000-09-19,1482.75,1466.75,1467.0,1478.5,103371.0,1478.5
2000-09-20,1480.5,1450.25,1478.75,1469.5,109667.0,1469.5
2000-09-21,1474.0,1455.5,1470.25,1469.5,98528.0,1469.5
2000-09-22,1471.0,1436.75,1454.75,1468.5,97416.0,1468.5
2000-09-25,1477.75,1455.5,1469.5,1461.0,85491.0,1461.0
2000-09-26,1467.0,1442.5,1461.0,1443.0,99803.0,1443.0
2000-09-27,1456.0,1438.25,1444.0,1446.75,101996.0,1446.75
2000-09-28,1481.0,1445.0,1447.75,1476.0,84280.0,1476.0
2000-09-29,1473.25,1454.0,1473.0,1454.0,78277.0,1454.0
2000-10-02,1464.25,1447.5,1453.75,1456.25,84100.0,1456.25
2000-10-03,1474.0,1438.75,1457.25,1441.5,89440.0,1441.5
2000-10-04,1457.25,1432.5,1442.0,1450.25,101607.0,1450.25
2000-10-05,1462.0,1447.25,1449.5,1456.0,92232.0,1456.0
2000-10-06,1460.5,1411.5,1456.0,1426.25,95257.0,1426.25
2000-10-09,1426.75,1408.0,1425.25,1416.5,67432.0,1416.5
2000-10-10,1424.5,1390.0,1417.5,1391.0,106613.0,1391.0
2000-10-11,1398.0,1361.75,1393.5,1378.5,132059.0,1378.5
2000-10-12,1387.75,1339.0,1379.5,1344.0,110135.0,1344.0
2000-10-13,1387.75,1339.5,1346.25,1386.25,86048.0,1386.25
2000-10-16,1393.75,1378.25,1386.0,1392.0,85209.0,1392.0
2000-10-17,1395.5,1355.0,1391.0,1359.75,99618.0,1359.75
2000-10-18,1372.0,1324.0,1362.75,1353.75,112021.0,1353.75
2000-10-19,1404.0,1356.0,1356.0,1401.75,88966.0,1401.75
2000-10-20,1422.0,1394.5,1402.0,1411.0,71889.0,1411.0
2000-10-23,1419.75,1399.75,1411.0,1417.0,85786.0,1417.0
2000-10-24,1428.75,1399.0,1415.25,1404.25,99159.0,1404.25
2000-10-25,1405.5,1370.5,1405.25,1374.0,110358.0,1374.0
2000-10-26,1384.25,1348.5,1374.75,1371.0,118287.0,1371.0
2000-10-27,1402.0,1368.0,1370.0,1401.0,81305.0,1401.0
2000-10-30,1419.5,1387.0,1398.0,1411.25,101978.0,1411.25
2000-10-31,1445.5,1408.25,1413.25,1440.75,89660.0,1440.75
2000-11-01,1441.0,1419.5,1441.0,1432.5,92961.0,1432.5
2000-11-02,1444.5,1430.0,1432.25,1435.0,77315.0,1435.0
2000-11-03,1444.5,1430.5,1434.25,1436.75,66960.0,1436.75
2000-11-06,1452.5,1436.0,1436.0,1445.5,57591.0,1445.5
2000-11-07,1446.0,1432.0,1444.5,1444.0,63778.0,1444.0
2000-11-08,1455.0,1410.5,1443.75,1412.0,88328.0,1412.0
2000-11-09,1420.75,1378.5,1413.75,1403.5,110522.0,1403.5
2000-11-10,1408.0,1370.5,1404.75,1372.25,90707.0,1372.25
2000-11-13,1373.0,1335.0,1369.0,1358.75,121521.0,1358.75
2000-11-14,1399.75,1358.5,1359.0,1394.0,101344.0,1394.0
2000-11-15,1404.5,1381.5,1394.25,1397.5,89420.0,1397.5
2000-11-16,1402.75,1376.5,1396.75,1379.25,180156.0,1379.25
2000-11-17,1393.5,1360.25,1378.75,1370.5,90660.0,1370.5
2000-11-20,1373.5,1345.25,1369.75,1347.75,82907.0,1347.75
2000-11-21,1362.75,1336.5,1348.25,1356.0,82365.0,1356.0
2000-11-22,1361.0,1322.0,1356.0,1323.0,76824.0,1323.0
2000-11-24,1349.5,1320.25,1323.25,1346.5,24125.0,1346.5
2000-11-27,1367.75,1348.5,1348.5,1359.0,89335.0,1359.0
2000-11-28,1364.5,1337.5,1358.5,1338.5,89335.0,1338.5
2000-11-29,1357.5,1333.0,1338.0,1335.25,112125.0,1335.25
2000-11-30,1333.75,1296.75,1332.75,1321.0,121701.0,1321.0
2000-12-01,1338.25,1310.0,1321.5,1320.75,93584.0,1320.75
2000-12-04,1337.5,1313.25,1323.0,1329.5,92525.0,1329.5
2000-12-05,1380.25,1329.0,1331.5,1374.25,95863.0,1374.25
2000-12-06,1379.5,1339.25,1373.0,1354.5,99873.0,1354.5
2000-12-07,1362.0,1335.25,1354.25,1337.0,12054.0,1337.0
2000-12-08,1384.25,1332.0,1332.0,1353.25,6007.0,1353.25
2000-12-11,1392.0,1362.5,1368.5,1383.0,3868.0,1383.0
2000-12-12,1381.25,1355.0,1380.5,1378.25,1616.0,1378.25
2000-12-13,1387.75,1358.0,1378.25,1358.0,2668.0,1358.0
2000-12-14,1362.75,1335.25,1358.25,1337.0,1376.0,1337.0
2000-12-15,1340.75,1317.75,1317.75,1332.0,98832.0,1332.0
2000-12-18,1352.75,1329.5,1330.0,1346.0,91761.0,1346.0
2000-12-19,1366.75,1317.25,1346.75,1317.75,98115.0,1317.75
2000-12-20,1326.0,1276.0,1318.75,1280.25,107160.0,1280.25
2000-12-21,1304.25,1270.25,1280.5,1288.5,99016.0,1288.5
2000-12-22,1327.5,1289.75,1289.75,1327.25,55440.0,1327.25
2000-12-26,1338.0,1318.5,1324.0,1336.5,44482.0,1336.5
2000-12-27,1351.5,1327.5,1337.5,1350.5,65382.0,1350.5
2000-12-28,1354.25,1341.5,1349.75,1353.0,56807.0,1353.0
2000-12-29,1356.5,1326.0,1352.75,1327.0,50363.0,1327.0
2001-01-02,1336.75,1289.25,1331.0,1300.0,92668.0,1300.0
2001-01-03,1367.25,1288.75,1301.0,1359.0,130684.0,1359.0
2001-01-04,1365.5,1341.5,1360.0,1349.0,110846.0,1349.0
2001-01-05,1380.0,1303.0,1345.75,1304.0,117776.0,1304.0
2001-01-08,1312.5,1287.5,1308.25,1309.5,120010.0,1309.5
2001-01-09,1325.5,1303.75,1312.0,1308.75,115968.0,1308.75
2001-01-10,1328.75,1297.25,1309.5,1327.0,131074.0,1327.0
2001-01-11,1343.5,1319.5,1325.75,1335.0,96098.0,1335.0
2001-01-12,1344.75,1322.0,1332.0,1330.0,109664.0,1330.0
