Date,Open,High,Low,Close,Volume,es_open,es_high,es_low,es_close,DoW,month,day
2021-07-16,4347.75,4368.0,4314.25,4318.5,1636065,16.799999237060547,18.700000762939453,16.030000686645508,18.450000762939453,5,7,16
2021-07-19,4320.0,4320.75,4224.0,4251.25,2599774,19.610000610351562,25.09000015258789,19.270000457763672,22.5,1,7,19
2021-07-20,4262.75,4329.0,4252.75,4315.5,1844380,20.889999389648438,22.969999313354492,19.3700008392334,19.729999542236328,2,7,20
2021-07-21,4318.75,4355.25,4310.0,4350.5,1191429,19.729999542236328,19.81999969482422,17.809999465942383,17.90999984741211,3,7,21
2021-07-22,4355.0,4371.5,4341.5,4359.5,981969,17.59000015258789,18.450000762939453,17.399999618530273,17.690000534057617,4,7,22
2021-07-23,4371.5,4408.25,4367.25,4403.0,1173337,16.979999542236328,17.479999542236328,16.329999923706055,17.200000762939453,5,7,23
2021-07-26,4400.5,4416.75,4375.5,4414.25,938628,18.670000076293945,19.389999389648438,17.530000686645508,17.579999923706055,1,7,26
2021-07-27,4415.75,4416.0,4364.75,4394.5,1575473,18.6200008392334,20.440000534057617,18.25,19.360000610351562,2,7,27
2021-07-28,4380.0,4407.75,4377.5,4393.75,1221313,19.40999984741211,19.6200008392334,17.520000457763672,18.309999465942383,3,7,28
2021-07-29,4393.75,4422.5,4380.5,4411.75,1009496,17.90999984741211,18.010000228881836,17.190000534057617,17.700000762939453,4,7,29
2021-07-30,4394.25,4405.0,4370.75,4389.5,1376982,19.690000534057617,19.719999313354492,17.530000686645508,18.239999771118164,5,7,30
2021-08-02,4396.5,4419.75,4377.25,4379.75,1193301,18.15999984741211,19.8700008392334,17.989999771118164,19.459999084472656,1,8,2
2021-08-03,4383.75,4417.0,4365.25,4415.0,1296856,19.170000076293945,20.440000534057617,17.700000762939453,18.040000915527344,2,8,3
2021-08-04,4409.75,4415.0,4391.25,4394.75,1047251,18.229999542236328,18.899999618530273,17.670000076293945,17.969999313354492,3,8,4
2021-08-05,4396.25,4422.75,4393.75,4421.5,763343,17.729999542236328,17.84000015258789,17.229999542236328,17.280000686645508,4,8,5
2021-08-06,4420.25,4433.25,4416.0,4429.5,951045,17.459999084472656,17.5,16.139999389648438,16.149999618530273,5,8,6
2021-08-09,4428.0,4432.0,4412.25,4425.75,789726,17.1200008392334,17.389999389648438,16.59000015258789,16.719999313354492,1,8,9
2021-08-10,4427.25,4438.25,4416.5,4430.0,950320,16.81999969482422,17.049999237060547,16.34000015258789,16.790000915527344,2,8,10
2021-08-11,4429.25,4443.25,4420.75,4440.5,1001054,16.809999465942383,17.09000015258789,16.06999969482422,16.170000076293945,3,8,11
2021-08-12,4440.0,4456.25,4430.25,4454.5,850527,16.329999923706055,16.420000076293945,15.489999771118164,15.59000015258789,4,8,12
2021-08-13,4455.75,4463.25,4451.0,4462.5,789104,15.680000305175781,15.720000267028809,15.1899995803833,15.449999809265137,5,8,13
